AGS;Stadtteil_Nr;Stadtteil;Stichtag;Quelle;Fam_Stand_ledig (ab 18J);Fam_Stand_Verheiratet_Lebenspartnerschaft (ab 18J);Fam_Stand_Verwitwet_LP-gestorben (ab 18J);Fam_Stand_Geschieden_LP aufgehoben (ab 18J);Fam_Stand_unbekannt (ab 18J)
8335043;50;Allmannsdorf;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;1685;2074;350;386;0
8335043;60;Staad;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;488;803;128;135;0
8335043;70;Fuerstenberg;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;4160;4218;733;1001;0
8335043;80;Wollmatingen;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;1742;2676;334;480;0
8335043;90;Industriegebiet;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;319;384;31;83;0
8335043;100;Egg;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;184;341;21;34;0
8335043;110;Litzelstetten;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;1029;1774;237;306;0
8335043;120;Dingelsdorf;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;578;1004;105;123;0
8335043;130;Dettingen;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;686;1504;194;171;0
8335043;140;Wallhausen;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;323;492;77;75;0
8335043;10;Altstadt;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;5276;3568;601;945;0
8335043;20;Paradies;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;2469;1826;391;431;0
8335043;30;Petershausen-West;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;6122;4361;666;1189;0
8335043;35;Petershausen-Ost;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;2046;2734;619;548;0
8335043;40;Koenigsbau;31.12.2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;2250;1833;261;381;0
